week,feature_id,active_users,ai_completion_rate,subscription_conversion_lift_pp,retention_lift_pp,model_accuracy,hallucination_rate,support_escalations_per_10k,p95_latency_ms,data_quality_score
2026-W01,AIP001,191763,67.6,5.36,3.81,73.2,7.4,5.8,1389,90.3
2026-W02,AIP001,170963,68.8,2.68,0.59,81.0,9.4,6.7,1194,79.4
2026-W03,AIP001,174320,65.3,5.72,4.48,77.8,8.4,4.9,1378,87.8
2026-W04,AIP001,159797,68.2,6.77,4.24,79.2,9.0,5.9,1204,84.0
2026-W05,AIP001,191477,65.6,2.69,4.45,76.8,9.2,4.3,1328,82.8
2026-W06,AIP001,198069,64.4,6.12,3.66,79.2,8.5,4.8,1236,87.9
2026-W07,AIP001,184520,63.8,7.27,1.0,80.5,9.1,5.9,1175,88.7
2026-W08,AIP001,184853,70.1,3.61,4.3,71.6,9.0,6.4,1166,91.7
2026-W09,AIP001,184979,61.8,4.57,6.02,75.1,6.8,5.8,1399,84.6
2026-W10,AIP001,188197,67.5,5.49,5.45,73.9,6.9,5.7,1313,91.9
2026-W11,AIP001,198615,63.6,3.13,3.89,75.4,9.6,5.4,1308,86.7
2026-W12,AIP001,163558,69.8,5.79,4.23,76.4,8.6,5.1,1319,88.8
2026-W01,AIP002,120233,63.1,6.15,5.01,81.6,7.1,3.9,1074,79.1
2026-W02,AIP002,121750,68.8,3.9,4.24,74.1,7.6,4.0,970,83.2
2026-W03,AIP002,110733,65.8,4.33,4.2,72.5,6.2,4.9,1200,74.6
2026-W04,AIP002,124050,66.6,1.94,1.93,73.2,6.5,5.0,1036,88.7
2026-W05,AIP002,102306,60.8,5.44,4.4,80.7,7.6,4.7,1004,75.9
2026-W06,AIP002,97443,56.1,5.55,1.81,73.0,8.1,3.5,1292,86.7
2026-W07,AIP002,109471,62.0,4.4,3.09,75.3,9.1,5.1,1276,87.1
2026-W08,AIP002,109155,64.6,4.11,3.41,80.8,5.6,4.2,1200,86.1
2026-W09,AIP002,106445,63.0,8.9,4.85,77.1,7.6,4.0,1289,82.0
2026-W10,AIP002,120546,63.1,7.76,2.87,76.0,8.4,4.9,1250,88.3
2026-W11,AIP002,100832,61.5,5.58,4.82,72.5,8.1,5.7,1107,83.5
2026-W12,AIP002,124041,64.1,3.58,3.56,76.1,8.7,5.6,1211,80.5
2026-W01,AIP003,156518,62.7,3.22,2.3,70.9,8.9,7.5,1300,79.3
2026-W02,AIP003,152341,62.9,4.83,4.83,70.5,10.7,7.6,1406,80.1
2026-W03,AIP003,148858,53.8,5.4,3.22,65.9,10.4,6.5,1240,76.8
2026-W04,AIP003,159104,56.4,5.54,3.08,67.8,8.3,7.7,1233,71.2
2026-W05,AIP003,142181,65.2,4.46,5.06,66.4,10.0,7.3,1326,83.8
2026-W06,AIP003,153327,63.7,5.25,2.96,70.7,10.7,6.5,1407,78.1
2026-W07,AIP003,158200,53.1,3.74,3.21,74.7,10.1,6.4,1369,78.1
2026-W08,AIP003,161577,58.9,2.78,4.56,71.3,9.2,7.1,1284,78.8
2026-W09,AIP003,158314,60.2,4.56,4.03,66.2,10.4,5.8,1310,88.5
2026-W10,AIP003,157564,57.2,6.39,4.79,65.9,7.4,6.2,1407,82.1
2026-W11,AIP003,163688,53.9,5.17,4.21,69.1,10.2,7.8,1470,73.4
2026-W12,AIP003,143043,60.5,3.56,3.04,66.3,6.5,5.7,1410,75.0
2026-W01,AIP004,158408,63.6,4.95,4.29,83.4,6.8,3.4,1184,86.6
2026-W02,AIP004,157390,73.7,5.47,4.24,77.9,8.4,4.1,1137,96
2026-W03,AIP004,186846,74.1,3.43,4.04,82.8,7.6,4.5,1112,88.9
2026-W04,AIP004,168755,66.4,6.59,4.88,77.1,5.5,4.5,1125,89.5
2026-W05,AIP004,170865,60.5,4.67,2.63,76.3,7.7,5.4,1117,93.0
2026-W06,AIP004,169406,63.4,6.05,4.06,84.0,4.9,5.6,1057,91.8
2026-W07,AIP004,181042,68.1,5.75,3.15,82.7,6.7,4.1,1123,86.7
2026-W08,AIP004,162521,65.2,6.27,2.18,80.2,6.0,3.6,1283,90.4
2026-W09,AIP004,159914,66.7,4.56,3.95,80.5,8.7,5.3,1171,85.3
2026-W10,AIP004,184401,63.7,5.27,3.66,80.8,6.7,3.5,1011,86.1
2026-W11,AIP004,164411,60.8,4.0,3.1,82.1,7.0,5.7,1265,96
2026-W12,AIP004,157330,67.4,5.14,2.89,78.7,7.0,4.3,1361,88.7
2026-W01,AIP005,139787,54.0,5.74,3.16,62.9,8.5,6.9,1429,76.8
2026-W02,AIP005,126274,57.3,4.34,3.98,65.4,9.1,6.5,1306,71.5
