feature_id,experiment_name,hypothesis,primary_metric,guardrail_metric,sample_plan,minimum_detectable_lift,duration_days,decision_rule
AIP001,Daily resource planner guided launch,"If daily resource planner is introduced with transparent controls, weekly planned task completion will improve without raising escalations.",Weekly planned task completion,Support escalations and low confidence AI outputs,"20,430 eligible users",6.0 pp,14,Ship when lift clears threshold and guardrails stay within tolerance
AIP002,Entrepreneur launch checklist guided launch,"If entrepreneur launch checklist is introduced with transparent controls, checklist activation rate will improve without raising escalations.",Checklist activation rate,Support escalations and low confidence AI outputs,"12,245 eligible users",6.1 pp,21,Ship when lift clears threshold and guardrails stay within tolerance
AIP003,Document to action extractor guided launch,"If document to action extractor is introduced with transparent controls, extracted action acceptance will improve without raising escalations.",Extracted action acceptance,Support escalations and low confidence AI outputs,"27,197 eligible users",4.3 pp,28,Ship when lift clears threshold and guardrails stay within tolerance
AIP004,Smart task decomposition guided launch,"If smart task decomposition is introduced with transparent controls, goal to first action rate will improve without raising escalations.",Goal to first action rate,Support escalations and low confidence AI outputs,"26,852 eligible users",3.6 pp,14,Ship when lift clears threshold and guardrails stay within tolerance
AIP005,Cross-app morning brief guided launch,"If cross-app morning brief is introduced with transparent controls, multi-app weekly engagement will improve without raising escalations.",Multi-app weekly engagement,Support escalations and low confidence AI outputs,"11,438 eligible users",2.8 pp,21,Ship when lift clears threshold and guardrails stay within tolerance
AIP006,Receipt and budget deadline advisor guided launch,"If receipt and budget deadline advisor is introduced with transparent controls, avoided missed deadline rate will improve without raising escalations.",Avoided missed deadline rate,Support escalations and low confidence AI outputs,"16,623 eligible users",4.4 pp,21,Ship when lift clears threshold and guardrails stay within tolerance
AIP007,Learning plan generator guided launch,"If learning plan generator is introduced with transparent controls, seven day lesson streak will improve without raising escalations.",Seven day lesson streak,Support escalations and low confidence AI outputs,"11,632 eligible users",2.8 pp,14,Ship when lift clears threshold and guardrails stay within tolerance
AIP008,Habit recovery coach guided launch,"If habit recovery coach is introduced with transparent controls, recovered streak rate will improve without raising escalations.",Recovered streak rate,Support escalations and low confidence AI outputs,"17,043 eligible users",5.3 pp,14,Ship when lift clears threshold and guardrails stay within tolerance
AIP009,Secure password task reminders guided launch,"If secure password task reminders is introduced with transparent controls, security task completion will improve without raising escalations.",Security task completion,Support escalations and low confidence AI outputs,"8,860 eligible users",4.3 pp,28,Ship when lift clears threshold and guardrails stay within tolerance
AIP010,Image based plant care planner guided launch,"If image based plant care planner is introduced with transparent controls, care plan save rate will improve without raising escalations.",Care plan save rate,Support escalations and low confidence AI outputs,"14,263 eligible users",5.2 pp,14,Ship when lift clears threshold and guardrails stay within tolerance
AIP011,Translation context memory guided launch,"If translation context memory is introduced with transparent controls, repeat translation satisfaction will improve without raising escalations.",Repeat translation satisfaction,Support escalations and low confidence AI outputs,"15,933 eligible users",4.8 pp,28,Ship when lift clears threshold and guardrails stay within tolerance
AIP012,Design brief to asset plan guided launch,"If design brief to asset plan is introduced with transparent controls, asset plan completion will improve without raising escalations.",Asset plan completion,Support escalations and low confidence AI outputs,"8,373 eligible users",5.7 pp,21,Ship when lift clears threshold and guardrails stay within tolerance
